90, True: 0, Predicted: 1, Text: asked 3mobile if 0870 chatlines inclu in free mins india cust servs sed yes l8er got mega bill 3 dont care bailiff due in days i o 250 3 want 800
3019, True: 0, Predicted: 1, Text: hi its lucy hubby at meetins all day fri i will b alone at hotel u fancy cumin over pls leave msg 2day 09099726395 lucy x calls 1 minmobsmorelkpobox177hp51fl
3133, True: 0, Predicted: 1, Text: email alertfrom jeri stewartsize 2kbsubject low cost prescripiton drvgsto listen to email call 123
3166, True: 0, Predicted: 1, Text: burger king wanna play footy at a top stadium get 2 burger king before 1st sept and go large or super with coca cola and walk out a winner
3182, True: 0, Predicted: 1, Text: 85233 free ringtone reply real
3241, True: 0, Predicted: 1, Text: win a 1000 cash prize or a prize worth 5000
3283, True: 0, Predicted: 1, Text: hello we need some posh birds and chaps to user trial prods for champneys can i put you down i need your address and dob asap ta r
3306, True: 0, Predicted: 1, Text: you have 1 new voicemail please call 08719181503
3309, True: 0, Predicted: 1, Text: reminder you have not downloaded the content you have already paid for goto http doit mymoby tv to collect your content
3400, True: 0, Predicted: 1, Text: back 2 work 2morro half term over can u c me 2nite 4 some sexy passion b4 i have 2 go back chat now 09099726481 luv dena calls 1 minmobsmorelkpobox177hp51fl
3403, True: 0, Predicted: 1, Text: you have 1 new voicemail please call 08719181513
3411, True: 0, Predicted: 1, Text: england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt 1 20 poboxox36504w45wq 16
3522, True: 1, Predicted: 0, Text: i career tel have added u as a contact on indyarocks com to send free sms to remove from phonebook sms no to
3671, True: 1, Predicted: 0, Text: you call him and tell now infront of them call him now
3760, True: 0, Predicted: 1, Text: sorry u can not unsubscribe yet the mob offer package has a min term of 54 weeks pls resubmit request after expiry reply themob help 4 more info
3773, True: 0, Predicted: 1, Text: are you unique enough find out from 30th august www areyouunique co uk
3778, True: 0, Predicted: 1, Text: accordingly i repeat just text the word ok on your mobile phone and send
3795, True: 1, Predicted: 0, Text: we have sent jd for customer service cum accounts executive to ur mail id for details contact us
3831, True: 0, Predicted: 1, Text: 88800 and 89034 are premium phone services call 08718711108
3850, True: 0, Predicted: 1, Text: you have 1 new message call 0207 083 6089
3874, True: 0, Predicted: 1, Text: hi ya babe x u 4goten bout me scammers getting smart though this is a regular vodafone no if you respond you get further prem rate msg subscription other nos used also beware
3877, True: 0, Predicted: 1, Text: you have an important customer service announcement from premier
3885, True: 0, Predicted: 1, Text: ringtoneking 84484
3941, True: 0, Predicted: 1, Text: tbs persolvo been chasing us since sept for 38 definitely not paying now thanks to your information we will ignore them kath manchester
4032, True: 0, Predicted: 1, Text: romcapspam everyone around should be responding well to your presence since you are so warm and outgoing you are bringing in a real breath of sunshine
4042, True: 0, Predicted: 1, Text: you will be receiving this week s triple echo ringtone shortly enjoy it
4048, True: 0, Predicted: 1, Text: want explicit sex in 30 secs ring 02073162414 now costs 20p min
4119, True: 1, Predicted: 0, Text: are you free now can i call now
4135, True: 0, Predicted: 1, Text: you have 1 new message please call 08712400200
4221, True: 0, Predicted: 1, Text: http tms widelive com index wml id 820554ad0a1705572711 first true c c ringtone
4327, True: 0, Predicted: 1, Text: win the newest harry potter and the order of the phoenix book 5 reply harry answer 5 questions chance to be the first among readers
4337, True: 0, Predicted: 1, Text: 3 you have received your mobile content enjoy
4498, True: 1, Predicted: 0, Text: can you call me plz your number shows out of coveragd area i have urgnt call in vasai have to reach before 4 o clock so call me plz
4516, True: 0, Predicted: 1, Text: want explicit sex in 30 secs ring 02073162414 now costs 20p min gsex pobox 2667 wc1n 3xx
4565, True: 0, Predicted: 1, Text: bank of granite issues strong buy explosive pick for our members up over 300 nasdaq symbol cdgt that is a 5 00 per
4568, True: 0, Predicted: 1, Text: freemsg fav xmas tones reply real
4880, True: 0, Predicted: 1, Text: from 88066 lost 12 help
4903, True: 0, Predicted: 1, Text: do you realize that in about 40 years we ll have thousands of old ladies running around with tattoos
4979, True: 0, Predicted: 1, Text: lookatme thanks for your purchase of a video clip from lookatme you ve been charged 35p think you can do better why not send a video in a mmsto 32323
4985, True: 1, Predicted: 0, Text: plz note if anyone calling from a mobile co asks u to type or do not do so disconnect the call coz it iz an attempt of terrorist to make use of the sim card no itz confirmd by nokia n motorola n has been verified by cnn ibn
5014, True: 0, Predicted: 1, Text: sms ac blind date 4u rodds1 is 21 m from aberdeen united kingdom check him out http img sms ac w icmb3cktz8r7 4 no blind dates send hide
5102, True: 0, Predicted: 1, Text: rct thnq adrian for u text rgds vatian
5121, True: 0, Predicted: 1, Text: sorry i missed your call let s talk when you have the time i m on 07090201529
5136, True: 0, Predicted: 1, Text: this message is brought to you by gmw ltd and is not connected to the
5148, True: 1, Predicted: 0, Text: plz note if anyone calling from a mobile co asks u to type or do not do so disconnect the call coz it iz an attempt of terrorist to make use of the sim card no itz confirmd by nokia n motorola n has been verified by cnn ibn
5180, True: 0, Predicted: 1, Text: in the simpsons movie released in july 2007 name the band that died at the start of the film a green day b blue day c red day send a b or c
5256, True: 0, Predicted: 1, Text: missed call alert these numbers called but left no message 07008009200
5278, True: 1, Predicted: 0, Text: indians r poor but india is not a poor country says one of the swiss bank directors he says that lac crore of indian money is deposited in swiss banks which can be used for taxless budget for yrs can give crore jobs to all indians from any village to delhi 4 lane roads forever free power suply to more than social projects every citizen can get monthly for yrs no need of world bank imf loan think how our money is blocked by rich politicians we have full rights against corrupt politicians itna forward karo ki pura india padhe g m
5299, True: 0, Predicted: 1, Text: kit strip you have been billed 150p netcollex ltd po box 1013 ig11 oja
5417, True: 0, Predicted: 1, Text: recpt 1 3 you have ordered a ringtone your order is being processed
5432, True: 0, Predicted: 1, Text: oh my god i ve found your number again i m so glad text me back xafter this msgs cst std ntwk chg 1 50
5512, True: 0, Predicted: 1, Text: dating i have had two of these only started after i sent a text to talk sport radio last week any connection do you think or coincidence

Number of Classification Ham count_mistakes: 15
Number of Classification Spam count_mistakes: 77
